L,beta,Hoffdiag_value,Hoffdiag_std,Hoffdiag_Eint_value,Hoffdiag_Eint_std,Hoffdiag_Fint_value,Hoffdiag_Fint_std,mc_steps,avg_q,max_q,avg_sgn,sgn_std,tot_cpu_time (s),wall_time (s),Tsteps,steps,Hoffdiag_test,Hoffdiag_Eint_test,Hoffdiag_Fint_test,offdiag_ES_value,offdiag_ES_std,offidag_FS_value,offdiag_FS_std
10,2.0,-22.3758075,0.00314861731,1024.50856,0.481892843,253.381465,0.13111246,100000000000,44.7544534,110,1,0,7249277.1,39173.1273,10000000,500000000,TRUE,TRUE,TRUE,23.1550344,0.250905041,3.04308405,0.0756251967
15,1.176470588235290,-57.0451605,0.0117565552,3883.39465,1.66844934,569.962426,0.246114216,80000000000,67.1129996,132,1,0,13902596.3,36824.189,10000000,200000000,TRUE,TRUE,TRUE,54.9824971,0.192627317,6.96063825,0.0339426413
15,1.2121212121212100,-57.5258283,0.0126672511,4068.03157,1.87423566,615.145335,0.284155718,80000000000,69.7251238,144,1,0,15242319.9,40022.2764,10000000,200000000,TRUE,TRUE,TRUE,56.8547,0.210818477,7.39126362,0.0355007955
15,1.25,-57.8796542,0.0133489135,4244.70473,1.99502795,661.829135,0.311963234,80000000000,72.3503129,146,1,0,16408300.5,43116.681,10000000,200000000,TRUE,TRUE,TRUE,57.1367684,0.212011274,7.52164188,0.0393908336
15,1.2903225806451600,-58.2124268,0.0136348459,4430.28577,2.13276371,712.981678,0.34520376,80000000000,75.1169705,146,1,0,17645020.2,47620.7189,10000000,200000000,TRUE,TRUE,TRUE,57.786879,0.215558189,7.73992117,0.0420892582
15,1.3333333333333300,-58.4917841,0.0136959042,4620.80834,2.2363662,768.36494,0.373941239,80000000000,77.9891901,152,1,0,19145055.9,63170.8605,10000000,200000000,TRUE,TRUE,TRUE,59.0899321,0.248928748,8.07853851,0.0482041304
15,1.3793103448275900,-58.7497069,0.0137188676,4820.81607,2.31175203,829.22183,0.400511685,80000000000,81.0337177,154,1,0,20370424.7,55094.0534,10000000,200000000,TRUE,TRUE,TRUE,60.0877183,0.266827997,8.40659655,0.0544880774
15,1.5384615384615400,-59.2191485,0.0155091768,5456.30658,2.98257043,1046.56128,0.576782523,80000000000,91.1095509,174,1,0,25784436,70707.2653,10000000,200000000,TRUE,TRUE,TRUE,61.0642011,0.344185969,9.01466517,0.0769379116
16,1.176470588235290,-64.1490423,0.0150133005,4906.59848,2.3680624,720.207392,0.350175074,80000000000,75.4676437,152,1,0,17619390,47947.0749,10000000,200000000,TRUE,TRUE,TRUE,65.3047963,0.256477755,8.25243894,0.0428254636
16,1.2121212121212100,-64.1672691,0.0163604567,5059.18072,2.69242743,765.008375,0.408391231,80000000000,77.7779113,146,1,0,28130160.1,74949.2648,10000000,200000000,TRUE,TRUE,TRUE,68.346276,0.323397755,8.82133707,0.0542999766
16,1.25,-63.7783957,0.0161176639,5155.60404,2.68899762,803.810936,0.419758921,80000000000,79.7223435,156,1,0,27397719,77571.0358,10000000,200000000,TRUE,TRUE,TRUE,70.9993375,0.332013541,9.34145099,0.0620196421
16,1.2903225806451600,-63.141898,0.014961309,5217.91839,2.57215727,839.544854,0.417018471,80000000000,81.4739603,164,1,0,21332132.5,58445.4787,10000000,200000000,TRUE,TRUE,TRUE,73.5322183,0.357773255,9.80514914,0.0658801978
16,1.3333333333333300,-62.2764875,0.0167114873,5245.25762,2.89828189,871.853893,0.486308166,80000000000,83.0337374,164,1,0,28783913.7,85990.3192,10000000,200000000,TRUE,TRUE,TRUE,74.1097638,0.365914017,9.99591671,0.0736449165
16,1.3793103448275900,-61.2891175,0.0160428712,5252.99865,2.86913168,902.942646,0.498999346,80000000000,84.5385312,168,1,0,24117532.8,63054.784,10000000,200000000,TRUE,TRUE,TRUE,71.818071,0.428501998,9.63564889,0.0895480413
16,1.4285714285714300,-60.4747081,0.0148569301,5294.73309,2.76391414,942.428537,0.497822076,80000000000,86.3903655,174,1,0,28333057.4,97719.5973,10000000,200000000,TRUE,TRUE,TRUE,70.1754884,0.455500353,9.47182164,0.0980926574
16,1.4814814814814800,-59.8356314,0.00652037483,5371.91561,1.53543101,991.303919,0.303566116,800000000000,88.646347,166,1,0,305102162,759516.197,10000000,2000000000,TRUE,TRUE,TRUE,67.763331,0.623270152,9.05349688,0.141035806
16,1.5384615384615400,-59.2846065,0.00656091544,5471.39747,1.73628195,1048.23262,0.36133366,800000000000,91.2180808,172,1,0,321381616,750061.451,10000000,2000000000,TRUE,TRUE,TRUE,64.2212083,0.760694074,8.39103015,0.182275994
20,1.176470588235290,-100.837146,0.0645873906,12064.1701,15.5589609,1772.13211,2.29470942,10000000000,118.626617,200,1,0,5266577.27,28075.2401,1000000,50000000,FALSE,FALSE,FALSE,101.664154,1.3590492,12.9400569,0.236900219
20,1.2121212121212100,-100.785205,0.0728613814,12416.6416,18.2457166,1879.19242,2.773877,10000000000,122.158752,200,1,0,5539016.38,29626.936,1000000,50000000,FALSE,FALSE,FALSE,104.329269,1.43420991,13.6905562,0.24083031
20,1.25,-100.655828,0.0711704614,12776.5162,18.4774352,1993.60731,2.89412764,10000000000,125.813658,208,1,0,5909797.85,32189.7522,1000000,50000000,FALSE,FALSE,FALSE,112.021641,1.79926554,14.7800285,0.327880223
20,1.2903225806451600,-99.1936706,0.0675260115,12810.3213,17.8032948,2063.01768,2.86412153,20000000000,127.994401,214,1,0,16166515.1,85205.5867,1000000,100000000,FALSE,FALSE,FALSE,114.341611,1.53976066,15.2790155,0.278236891
20,1.3333333333333300,-97.7520889,0.0546134081,12860.1188,14.6407227,2139.60453,2.44490877,60000000000,130.33774,220,1,0,40268394.7,210032.637,1000000,300000000,TRUE,TRUE,TRUE,119.490951,1.02133679,16.1665533,0.192953581
20,1.3793103448275900,-96.1587259,0.0509943116,12868.8682,13.9189616,2214.54317,2.41458275,60000000000,132.633365,236,1,0,43683042.4,,1000000,300000000,TRUE,TRUE,TRUE,115.074333,1.15983056,15.6131884,0.225652366
20,1.4285714285714300,-94.7199013,0.054358744,12927.6728,15.2707771,2303.68126,2.72866453,60000000000,135.316749,224,1,0,45940759.8,234996.225,1000000,300000000,TRUE,TRUE,TRUE,110.730383,1.1153027,14.9415356,0.236620023
20,1.4814814814814800,-93.6752845,0.0538609646,13107.8731,15.5873118,2422.13467,2.89729151,60000000000,138.775834,236,1,0,48773032.5,,1000000,300000000,TRUE,TRUE,TRUE,107.785787,1.26426901,14.7110913,0.260238702
20,1.5384615384615400,-92.7996376,0.0709035831,13354.7873,21.2693098,2562.19618,4.10102325,60000000000,142.767304,244,1,0,53497440.2,,1000000,300000000,TRUE,TRUE,TRUE,105.906133,1.51512981,14.3344269,0.333049941
26,1.176470588235290,-170.863061,0.071690855,34518.8297,29.2800582,5072.94586,4.32791148,40000000000,201.007217,308,1,0,90092307,256866.354,10000000,100000000,FALSE,FALSE,FALSE,172.729067,2.02613926,22.0487183,0.32289821
26,1.2903225806451600,-169.414776,0.0592040614,37238.7756,26.324171,6001.08593,4.28584241,40000000000,218.595586,328,1,0,109301971,328938.913,10000000,100000000,FALSE,FALSE,FALSE,204.754594,2.95792845,27.8567254,0.560480518
26,1.3793103448275900,-163.541725,0.0930874538,37096.2224,44.224415,6388.44035,7.69245531,40000000000,225.572249,344,1,0,118344385,,10000000,100000000,FALSE,FALSE,FALSE,205.331495,3.90056893,27.9419117,0.838522293
26,1.5384615384615400,-158.387747,0.228360786,38804.8658,114.816048,7452.97884,22.0135629,40000000000,243.664379,384,1,0,147339684,,10000000,100000000,FALSE,FALSE,FALSE,209.97584,5.44638629,30.8846045,1.16827916
30,1.176470588235290,-226.120287,0.52977007,60402.7091,268.239428,8878.10014,39.4214367,48000000000,266.025787,388,1,0,214930440,,1000000,120000000,FALSE,FALSE,FALSE,249.31576,16.1158531,32.0128875,2.3944266
30,1.2121212121212100,-226.532699,0.565379544,62459.0097,295.582327,9458.36964,44.7645245,48000000000,274.584857,402,1,0,243203216,,1000000,120000000,FALSE,FALSE,FALSE,256.508194,17.7914833,33.7481925,2.71786353
,,-226.046806,0.540612867,64145.8785,291.097354,10016.681,45.4534819,48000000000,282.563721,402,0.99768125,0.000558543535,249264440,,1000000,120000000,FALSE,FALSE,FALSE,274.430612,17.2320046,36.7672944,2.72931508
30,1.25,-223.170451,0.714955213,62550.2923,382.107868,9767.51309,59.6537671,10920000000,278.952572,392,0.998681319,0.000440876595,52946622.7,,1000000,60000000,FALSE,FALSE,FALSE,293.979604,21.7311505,39.9642306,3.45764109
30,1.2903225806451600,-224.013843,0.522616077,65049.4882,288.793027,10484.5847,46.5711035,48000000000,289.049822,440,1,0,246308767,,1000000,120000000,FALSE,FALSE,FALSE,298.259788,16.5398757,40.8381599,2.6901017
30,1.3333333333333300,-220.517919,0.447120574,65125.2909,252.81461,10845.9488,42.1109558,48000000000,294.030053,426,1,0,258549988,,1000000,120000000,FALSE,FALSE,FALSE,287.753861,13.1612422,39.6925847,2.24259421
30,1.3793103448275900,-218.444684,0.44450767,66109.2166,258.566968,11388.4672,44.5514076,48000000000,301.309245,456,1,0,280009686,,1000000,120000000,FALSE,FALSE,FALSE,291.175249,12.9529189,40.5290516,2.28391754
30,1.4285714285714300,-217.227707,0.866505668,67755.8868,519.512163,12088.8512,92.7045794,12000000000,310.328838,446,1,0,70795093.2,,1000000,30000000,FALSE,FALSE,FALSE,344.634522,25.686549,51.1275511,4.68014242
30,1.4814814814814800,-215.850841,0.809073344,69360.7536,499.764934,12833.351,92.4637815,12000000000,319.778689,442,1,0,76711838.6,,1000000,30000000,FALSE,FALSE,FALSE,336.182389,25.2562108,51.0230383,4.77559983
30,1.5384615384615400,-213.733702,0.459945052,70611.5573,296.247308,13566.1281,56.9294978,48000000000,328.826636,476,1,0,383271485,,1000000,120000000,FALSE,FALSE,FALSE,331.410816,12.3345072,50.7153553,2.48122987
