L,lam,Tsteps,steps,tot_steps,avg_sgn,avg_sgn_std,avg_q,max_q,a,a_std,a2,a2_std,aCorr,aCorr_std,aEint,aEint_std,aFint,aFint_std,b,b_std,b2,b2_std,bCorr,bCorr_std,bEint,bEint_std,bFint,bFint_std,ab,ab_std,abCorr,abCorr_std,abEint,abEint_std,abFint,abFint_std,h,h_std,h2,h2_std,hDiag,hDiag_std,hDiag2,hDiag2_std,hOffdiag,hOffdiag_std,hOffdiag2,hOffdiag2_std,zmag,zmag_std,hDiagCorr,hDiagCorr_std,hDiagEint,hDiagEint_std,hDiagFint,hDiagFint_std,hOffdiagCorr,hOffdiagCorr_std,hOffdiagEint,hOffdiagEint_std,hOffdiagFint,hOffdiagFint_std,diagES,diagES_std,diagFS,diagFS_std,offDiagES,offDiagES_std,offDiagFS,offDiagFS_std,Cv,Cv_std,a_therm,a2_therm,aCorr_therm,aEint_therm,aFint_therm,b_therm,b2_therm,bCorr_therm,bEint_therm,bFint_therm,ab_therm,abCorr_therm,abEint_therm,abFint_therm,h_therm,h2_therm,hDiag_therm,hDiag2_therm,hOffdiag_therm,hOffdiag2_therm,zmag_therm,hDiagCorr_therm,hDiagEint_therm,hDiagFint_therm,hOffdiagCorr_therm,hOffdiagEint_therm,hOffdiagFint_therm,diagES_therm,diagFS_therm,offDiagES_therm,offDiagFS_therm,Cv_therm,tot_cpu_time (s),wall_time (s)
8,0.6499999999999999,1000000,50000000,5000000000,1,0,8.130924,32,1.24465951,0.00314237233,2.60586136,0.030067161,1.83325016,0.00856028209,2.04746079,0.00946194792,0.24151509,0.00123650452,-0.0368002313,0.00069109015,1.5483541,0.0302884553,0.163392078,0.00351072876,0.516804789,0.00497378814,0.0396028774,0.000495768526,-0.044349291,0.00186718274,-0.0461286611,0.000901790874,-0.045915083,0.000684700508,-0.0057300853,0.000104068266,-114.931832,0.00498517062,13215.7852,1.13479981,-106.812508,0.00799483845,11442.5169,1.66481637,-8.11932424,0.00778450327,92.552595,0.176140325,-0.003670125,0.000779991975,11416.704,1.15896057,11422.8367,1.25867933,1427.42673,0.148303039,66.7397682,0.980708416,72.8724176,0.75451362,8.68119833,0.110738722,13.9248134,0.663097117,1.3127478,0.0996038182,6.94899154,0.664632452,0.440770075,0.0995340419,6.45911503,0.0303374176,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,49921.3944,517.223553
8,0.6,1000000,50000000,5000000000,1,0,6.919336,30,1.23081931,0.00277417527,2.54399854,0.0288700167,1.79777404,0.00835810584,2.01322655,0.00896396198,0.236794022,0.00106871188,-0.0352362004,0.000561015066,1.57083431,0.0301693372,0.162062664,0.00318756232,0.513075874,0.00479971059,0.0393804606,0.000520957792,-0.0412926705,0.00138128373,-0.0423245921,0.000777996145,-0.042535015,0.000653336708,-0.00524738424,9.16489124e-05,-114.343513,0.00443632876,13080.8235,0.994060003,-107.4333,0.0075833382,11571.553,1.57842087,-6.91021296,0.00690706475,70.5906352,0.155966396,-0.0328779375,0.000889604302,11549.1353,1.00474778,11554.7878,1.09633198,1443.94606,0.128154145,48.1728426,0.983123324,53.8253927,0.772923223,6.32576243,0.114437014,12.8738567,0.683680816,1.20682042,0.10363515,6.07434962,0.69444861,0.356882042,0.104726363,6.38449876,0.0353011079,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,37510.9737,432.29706
8,0.7499999999999999,1000000,50000000,5000000000,1,0,10.841924,38,1.27196988,0.00363656371,2.61069408,0.0308252957,1.89298623,0.00952171335,2.10589623,0.00994174419,0.248968524,0.00119865173,-0.0415918904,0.0005831677,1.53718533,0.0313048948,0.161573022,0.00316985495,0.514904699,0.00430295875,0.0400476963,0.000445442802,-0.0525183208,0.00209656232,-0.0554186917,0.00109100633,-0.0547141073,0.000753347585,-0.00691081475,0.000115899121,-116.231752,0.00608661212,13516.4594,1.39642004,-105.384184,0.0096644828,11148.4802,1.95748269,-10.8475677,0.00952285441,153.006962,0.286398779,-0.0231163125,0.00124293834,11116.8745,1.41826856,11124.7029,1.45241368,1390.01392,0.178160742,121.401234,1.20655165,129.229677,0.94573544,15.5797661,0.137714323,18.876669,0.796638849,1.78564015,0.119730731,11.5599522,0.799032306,0.871050546,0.120206071,6.6393031,0.0417679788,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,72470.2453,809.618534
8,0.7999999999999999,1000000,50000000,5000000000,1,0,12.364368,42,1.27800814,0.00354774182,2.6640914,0.032895074,1.9084915,0.0105301042,2.11996158,0.00997291325,0.250307233,0.00128278116,-0.0440055922,0.000628231388,1.53505756,0.0341580301,0.162020318,0.00415768859,0.5092106,0.00368034642,0.0391196557,0.000490526216,-0.0554603213,0.00252711369,-0.0583334116,0.00123202095,-0.0577897808,0.000833986496,-0.00729894626,0.000127948987,-116.953264,0.00611145489,13684.821,1.41455659,-104.577836,0.00987672394,10984.327,2.01432239,-12.3754283,0.00976007612,193.485764,0.320174861,-0.0577830625,0.000563926602,10949.3044,1.2952437,10957.8574,1.43428887,1369.16189,0.165610061,158.463171,1.29670452,167.016137,0.992413828,20.3067272,0.148350806,21.3336226,0.795809924,2.09641287,0.124792535,13.8649125,0.806623754,1.1628241,0.125930993,6.75494597,0.0402102754,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,73058.1088,907.333475
8,0.7,1000000,50000000,5000000000,1,0,9.436508,40,1.25194769,0.00332482248,2.60922868,0.0291482322,1.8462825,0.00811865743,2.05610212,0.009177,0.243129054,0.00110572937,-0.0398323196,0.000683005841,1.60082359,0.0343118575,0.167818128,0.00363897638,0.519397752,0.0041365995,0.0394865784,0.00051343223,-0.0572958321,0.0034996625,-0.0499166347,0.000936095941,-0.0502935361,0.000741490968,-0.00616624567,0.000102156282,-115.554273,0.00565986404,13359.3154,1.29512276,-106.121248,0.00800966342,11299.6787,1.64580186,-9.43302529,0.00817525343,119.840255,0.223752724,-0.157568,0.000668984249,11271.0892,1.2226339,11278.0326,1.29678189,1409.25104,0.158115152,91.2507157,0.913048448,98.1941034,0.726797553,11.7712334,0.108704238,16.3132754,0.606871049,1.53612995,0.0949404998,9.21213731,0.618278887,0.648487684,0.0961548777,6.52533327,0.0391120961,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,60825.4789,685.551732
8,0.8499999999999999,1000000,50000000,5000000000,1,0,13.972972,46,1.30000455,0.00422556392,2.67708077,0.0303787135,1.96930385,0.0112113792,2.16793802,0.010741299,0.25676955,0.00132001959,-0.0477508405,0.000706901415,1.53915984,0.0297125426,0.168190384,0.00425205151,0.516010159,0.00406285068,0.0399732146,0.000517911632,-0.0580456396,0.00273751001,-0.0604433807,0.000979263166,-0.060538154,0.000771479269,-0.00757004593,0.000114505685,-117.729128,0.00553229356,13866.9506,1.29136097,-103.759864,0.0101755424,10818.9321,2.03910842,-13.9692637,0.011169155,240.24163,0.388687056,0.0801023125,0.00141390514,10777.7555,1.45520159,10787.6748,1.52703416,1347.81643,0.185456978,199.064983,1.352729,208.984294,1.07336403,25.4801165,0.157439262,21.5654301,0.821568809,2.05275856,0.126866664,13.843965,0.82324373,1.08757543,0.127130306,6.80304575,0.0480644549,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,88615.6722,837.673608
8,0.8999999999999999,1000000,50000000,5000000000,1,0,15.714564,48,1.31012772,0.00409282431,2.72248147,0.0346359965,1.97661179,0.011014231,2.18647034,0.0106456173,0.259317829,0.00136280742,-0.0495571425,0.000776859684,1.49388947,0.0370592176,0.169359992,0.00516082215,0.511329088,0.00363533722,0.0396177001,0.000534374078,-0.0672795276,0.00354471344,-0.065520812,0.000929754751,-0.0654236494,0.00081460583,-0.00821624708,0.000119171423,-118.557393,0.00615494307,14062.7162,1.44488443,-102.825944,0.0116483701,10631.824,2.32225098,-15.7314495,0.0117039951,298.329429,0.448639403,-0.0896346875,0.00084632708,10588.3861,1.59157243,10598.9885,1.72958324,1324.09796,0.204381715,254.89151,1.49770085,265.493975,1.19142478,32.4111434,0.173596705,25.8137861,0.903318611,2.45111976,0.13989305,18.0154718,0.904268003,1.47633048,0.139465272,6.86064911,0.0549718052,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,91501.6852,1194.17302
8,0.95,1000000,50000000,5000000000,1,0,17.508504,54,1.31573083,0.00410985702,2.77389105,0.0353869008,1.99236347,0.0112889668,2.20199796,0.0100316679,0.261237395,0.00125147606,-0.0520356273,0.000787441095,1.5366822,0.0334032124,0.162025658,0.00456371705,0.512814633,0.00431547409,0.0383309794,0.000535178559,-0.0683847343,0.00255968584,-0.0687999998,0.00124968451,-0.0688597739,0.000783633915,-0.00868115063,0.000137475928,-119.41214,0.00671901446,14266.2752,1.59418666,-101.91084,0.0131206867,10449.9785,2.59497881,-17.5013004,0.0140235971,362.118219,0.600987617,0.141495812,0.000928686506,10398.4647,1.93246202,10411.266,2.04685336,1300.48995,0.250498805,310.604432,1.62613109,323.405707,1.32717111,39.5074135,0.191283522,25.4466592,0.910564033,2.26253249,0.143252585,17.1101932,0.93133897,1.22047425,0.145785446,7.01589901,0.0505787884,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,111524.425,1341.89039
8,0.9999999999999999,1000000,50000000,5000000000,1,0,19.427864,54,1.33221846,0.00506991623,2.78158965,0.0393084291,2.01785988,0.010948486,2.23496275,0.0114476006,0.264883067,0.00141408508,-0.0540492723,0.000829142832,1.51684384,0.0389401961,0.174810597,0.00542805757,0.516751039,0.00452686555,0.0405608527,0.000570151933,-0.0727644655,0.00393927103,-0.0715371811,0.0013808596,-0.0717683874,0.000942500126,-0.00896994428,0.000150833271,-120.318682,0.0078288398,14483.6025,1.86444324,-100.893496,0.0124881851,10249.8516,2.45706857,-19.4251861,0.0130673998,439.218866,0.58828393,-0.017832125,0.000640250547,10194.6111,1.68536456,10207.7244,1.81055013,1275.00125,0.221072648,383.978444,1.70843674,397.091739,1.38947451,48.6721583,0.197519972,28.2269054,0.989108593,2.56405412,0.149965276,19.7538826,0.990028493,1.50492627,0.150446687,7.01721484,0.0567300774,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,129033.131,1558.06095
8,1.05,1000000,50000000,5000000000,1,0,21.45588,60,1.33229488,0.00494104276,2.74423533,0.037310832,2.02547642,0.0119271533,2.24013704,0.0115674804,0.26536345,0.00145672207,-0.0560176246,0.000927360908,1.47194905,0.0402405094,0.190609476,0.00562656297,0.513796171,0.00383910177,0.0405318631,0.000531769977,-0.0732863834,0.00377795465,-0.0751312025,0.0014526503,-0.0741226366,0.000887494118,-0.00946519112,0.000130493434,-121.28177,0.00631873932,14716.4742,1.52073719,-99.835132,0.0124435404,10043.6749,2.40302427,-21.4466377,0.0128819267,528.007727,0.646492572,0.0334473125,0.000745058946,9982.90344,1.84372994,9997.07251,1.85708183,1248.57967,0.226012125,467.23631,1.60710346,481.405376,1.3663425,59.1212797,0.18896464,30.0189236,0.901408249,2.69797309,0.134314493,21.4471065,0.912460413,1.62649595,0.135317675,7.20658081,0.063468327,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,161016.676,2122.53622
